date,venue,race_no,race_id,candidate_rank,buy,trifecta_prob_approx,trifecta_odds,stake_yen,trifecta_return_yen,trifecta_profit_yen,loss_amount_yen,expected_profit_yen
2026-06-30,取手,7,072320260630,7,2-7-1,0.0060108109195412705,264.0,100,26400,26300,100,59
2026-06-30,取手,7,072320260630,8,2-7-3,0.0060108109195412705,333.1,100,33310,33210,100,100
2026-06-30,取手,8,082320260630,1,1-2-7,0.007926853619569931,132.5,100,13250,13150,100,5
2026-06-30,取手,8,082320260630,2,1-7-2,0.007926853619569931,89.3,100,8930,8830,100,-29
2026-06-30,取手,8,082320260630,3,2-1-7,0.007926853619569931,280.3,100,28030,27930,100,122
2026-06-30,取手,8,082320260630,4,2-7-1,0.007926853619569931,198.1,100,19810,19710,100,57
2026-06-30,取手,8,082320260630,5,7-1-2,0.007926853619569931,167.4,100,16740,16640,100,33
2026-06-30,取手,8,082320260630,6,7-2-1,0.007926853619569931,123.1,100,12310,12210,100,-2
2026-06-30,取手,8,082320260630,7,1-2-6,0.007278292868877846,892.9,100,89290,89190,100,550
2026-06-30,取手,8,082320260630,8,1-7-6,0.007278292868877846,424.6,100,42460,42360,100,209
2026-06-30,取手,9,092320260630,1,1-3-6,0.016016454884210003,2464.6,100,246460,246360,100,3847
2026-06-30,取手,9,092320260630,2,1-3-8,0.016016454884210003,1206.8,100,120680,120580,100,1833
2026-06-30,取手,9,092320260630,3,1-6-3,0.016016454884210003,2876.5,100,287650,287550,100,4507
2026-06-30,取手,9,092320260630,4,1-6-8,0.016016454884210003,1358.2,100,135820,135720,100,2075
2026-06-30,取手,9,092320260630,5,1-8-3,0.016016454884210003,1113.4,100,111340,111240,100,1683
2026-06-30,取手,9,092320260630,6,1-8-6,0.016016454884210003,794.8,100,79480,79380,100,1173
2026-06-30,取手,9,092320260630,7,3-1-6,0.016016454884210003,2030.8,100,203080,202980,100,3153
2026-06-30,取手,9,092320260630,8,3-1-8,0.016016454884210003,1226.5,100,122650,122550,100,1864
2026-06-30,取手,10,102320260630,1,2-3-5,0.010875468796435224,324.7,100,32470,32370,100,253
2026-06-30,取手,10,102320260630,2,2-5-3,0.010875468796435224,196.1,100,19610,19510,100,113
2026-06-30,取手,10,102320260630,3,3-2-5,0.010875468796435224,780.7,100,78070,77970,100,749
2026-06-30,取手,10,102320260630,4,3-5-2,0.010875468796435224,1297.3,100,129730,129630,100,1311
2026-06-30,取手,10,102320260630,5,5-2-3,0.010875468796435224,399.2,100,39920,39820,100,334
2026-06-30,取手,10,102320260630,6,5-3-2,0.010875468796435224,959.9,100,95990,95890,100,944
2026-06-30,取手,10,102320260630,7,2-3-1,0.004755075101471678,375.7,100,37570,37470,100,79
2026-06-30,取手,10,102320260630,8,2-3-7,0.004755075101471678,245.2,100,24520,24420,100,17
2026-06-30,取手,11,112320260630,1,1-3-4,0.008641431950558474,395.6,100,39560,39460,100,242
2026-06-30,取手,11,112320260630,2,1-3-7,0.008641431950558474,128.1,100,12810,12710,100,11
2026-06-30,取手,11,112320260630,3,1-4-3,0.008641431950558474,400.4,100,40040,39940,100,246
2026-06-30,取手,11,112320260630,4,1-4-7,0.008641431950558474,381.8,100,38180,38080,100,230
2026-06-30,取手,11,112320260630,5,1-7-3,0.008641431950558474,206.8,100,20680,20580,100,79
2026-06-30,取手,11,112320260630,6,1-7-4,0.008641431950558474,496.9,100,49690,49590,100,329
2026-06-30,取手,11,112320260630,7,3-1-4,0.008399443052872185,973.0,100,97300,97200,100,717
2026-06-30,取手,11,112320260630,8,3-1-7,0.008399443052872185,325.6,100,32560,32460,100,173
2026-06-30,取手,12,122320260630,1,4-1-5,0.022024054982727727,745.4,100,74540,74440,100,1542
2026-06-30,取手,12,122320260630,2,4-1-9,0.022024054982727727,480.4,100,48040,47940,100,958
2026-06-30,取手,12,122320260630,3,4-5-1,0.022024054982727727,1768.3,100,176830,176730,100,3795
2026-06-30,取手,12,122320260630,4,4-5-9,0.022024054982727727,4720.2,100,472020,471920,100,10296
2026-06-30,取手,12,122320260630,5,4-9-1,0.022024054982727727,1081.0,100,108100,108000,100,2281
2026-06-30,取手,12,122320260630,6,4-9-5,0.022024054982727727,4527.2,100,452720,452620,100,9871
2026-06-30,取手,12,122320260630,7,1-4-5,0.01297863361581053,182.0,100,18200,18100,100,136
2026-06-30,取手,12,122320260630,8,1-4-9,0.01297863361581053,107.6,100,10760,10660,100,40
2026-06-30,平塚,1,013520260630,1,1-2-5,0.03664609659382861,99.6,100,9960,9860,100,265
2026-06-30,平塚,1,013520260630,2,1-2-7,0.03664609659382861,29.9,100,2990,2890,100,10
2026-06-30,平塚,1,013520260630,3,1-5-2,0.03664609659382861,168.3,100,16830,16730,100,517
